 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Pulleys,FALSE,Gt2 20t 12mm,8,$3.47,$27.78,,https://www.aliexpress.us/item/2251832836965041.html,,,,,,
Pulleys,FALSE,Gt2 20t 6mm,4,$3.06,$12.23,,https://www.aliexpress.us/item/2251832836965041.html,,,,,,
Bearings,FALSE,f605,20,$0.37,$7.40,JLC,https://jlcmc.com/product/b/C15/BR8366/deep-groove-ball-bearings-with-flange-types?k=F605ZZ&productModelNumber=F605ZZ,,,,,,
Bearings,FALSE,605 bearing,6,$0.15,$0.91,JLC,https://jlcmc.com/product/b/C15/BR8364/deep-groove-ball-bearing-double-side-with-dust-cover?k=605ZZ&productModelNumber=605ZZ,,,,,,
Bearings,FALSE,f695,4,$0.20,$0.80,JLC,https://jlcmc.com/product/b/C15/BR8366/deep-groove-ball-bearings-with-flange-types?k=F695ZZ&productModelNumber=F695ZZ,,,,,,
Spacer,FALSE,M3xD6x20mm,14,$0.51,$7.15,,https://www.aliexpress.us/item/3256807676471039.html,,,,,,
Spacer,FALSE,M5xD8x5mm,20,$0.20,$4.03,,https://www.aliexpress.us/item/3256807676471039.html,,,,,,
Pin,FALSE,M3xD6x35mm,6,$0.74,$4.44,,https://www.aliexpress.us/item/3256803877489650.html,,,,,,
Pin,FALSE,5mmx40mm,4,$0.71,$2.85,,https://www.aliexpress.us/item/3256806837028480.html,,,,,,
Shims,FALSE,0.5mm 5ID,16,$0.12,$1.94,,https://www.aliexpress.us/item/3256801859874107.html,,,,,,
Shims,FALSE,1mm 5ID,6,$0.35,$2.11,,https://www.aliexpress.us/item/3256801859874107.html,,,,,,
Spring,FALSE,6mm OD 9mm Length,4,$0.33,$1.32,JLC,https://www.aliexpress.us/item/3256805126221346.html?gatewayAdapt=glo2usa4itemAdapt,,,,,,
CNC parts,FALSE,Rear Motor Mounts,4,$26.52,$106.08,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
CNC parts,FALSE,Front Motor Mounts,4,$25.61,$102.42,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
CNC parts,FALSE,Tensioners,2,$17.54,$35.08,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
CNC parts,FALSE,XY Joints,4,$32.47,$129.88,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Toolhead,,,,,,,,,,,,,
Heater,FALSE,STDv6 Heaters,1,$19.43,$19.43,,https://trianglelab.net/products/std6?VariantsId=11907,,,,,,
Heat Break,FALSE,E3 S1 Bimetallic heatbreak,1,$5.70,$5.70,,https://www.aliexpress.us/item/3256805790699617.html,,,,,,
CPAP,FALSE,130k RPM Fan,1,$13.86,$13.86,,https://www.aliexpress.us/item/3256808315658138.html?gatewayAdapt=glo2usa4itemAdapt,,,,,,
CPAP,FALSE,CPAP Tube,1,$7.00,$7.00,,https://www.ebay.com/itm/197951054068?itmmeta=01KSKRKVPZHTJWCMN59X1VYEBX&hash=item2e16cd60f4:g:LnQAAOSwAiVfl0OX,,,,,,
Gears,FALSE,K1 gearset,1,$9.07,$9.07,,https://www.aliexpress.us/item/3256808414846514.html,,,,,,
Motor,TRUE,Nema 14,1,,,,,,,,,,
